real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
97.96,1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",100.0,92.98245614035088,100.0
80.61,2,She had adopted at least twenty –,60.0,54.3859649122807,100.0
79.59,3,or had given them homes.,60.0,54.3859649122807,100.0
83.67,4,But she had – a young grandson,90.0,82.45614035087719,100.0
67.35,5,and back then I was quite the tomboy.,70.0,56.14035087719298,100.0
72.45,6,"And apparently, he was trying to befriend me.",100.0,89.47368421052632,100.0
51.02,7,I never caught on.,50.0,36.8421052631579,88.88888888888889
60.2,8,Truth is I didn't take to him much because he had –,80.0,100.0,100.0
65.31,9,He was a charming lad until you saw his manners.,90.0,100.0,100.0
63.27,10,He had poor manners.,90.0,100.0,100.0
63.27,11,Goodness gracious he had poor manners.,90.0,100.0,100.0
87.76,12,Then he left a note one day saying he was going to run away because she was always nagging about me.,100.0,100.0,100.0
75.51,13,She came to my treehouse.,100.0,98.24561403508773,100.0
37.76,14,Big old tabby cat in tow.,80.0,52.63157894736842,55.55555555555556
37.76,15,I talked her down,70.0,78.94736842105263,100.0
68.37,16,and said “Well we'll go find him,90.0,89.47368421052632,100.0
58.16,17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",80.0,80.70175438596492,77.77777777777777
19.39,18,I was strategizing.,60.0,40.35087719298246,22.22222222222222
59.18,19,So she took my advice.,80.0,85.96491228070175,100.0
71.43,20,And we went to where they found his baseball cap – near the old mill,90.0,96.49122807017544,100.0
56.12,21,and we trailed a bit more,70.0,89.47368421052632,88.88888888888889
54.08,22,and we didn't find a trace.,90.0,82.45614035087719,88.88888888888889
39.8,23,And returned,60.0,57.89473684210526,55.55555555555556
61.22,24,– it was a treehouse club –,100.0,89.47368421052632,100.0
82.65,25,he was sitting on a branch with a comic book in his hand.,100.0,100.0,100.0
60.2,26,He hadn't run away.,100.0,96.49122807017544,88.88888888888889
14.29,27,But – however – that resolved it for that day.,50.0,45.6140350877193,22.22222222222222
77.55,28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",100.0,96.49122807017544,100.0
50.0,29,And I did.,100.0,89.47368421052632,88.88888888888889
50.0,30,I laid low,100.0,91.2280701754386,100.0
50.0,31,and stayed out of sight.,100.0,91.2280701754386,100.0
22.45,32,That was the second time.,60.0,8.771929824561404,
