real_caught,segment_id,segment_text,gpt4,gpt4o_all,gpt4o_idxmx
87.76,1,My best friend pushed me into the lake.,100.0,100.0,100.0
81.63,2,This happened during our annual summer camping trip,100.0,92.3076923076923,66.66666666666667
39.8,3,and we were enjoying a peaceful afternoon.,10.0,71.7948717948718,22.22222222222222
12.24,4,"The reason it all began,",0.0,2.5641025641025643,11.11111111111111
68.37,5,she spotted a frog near the water's edge or,40.0,69.23076923076923,44.44444444444444
39.8,6,- this was at our favorite spot in the woods -,30.0,10.256410256410257,11.11111111111111
81.63,7,and she dared me to catch it.,90.0,92.3076923076923,66.66666666666667
63.27,8,I had just sat down to eat my sandwich,100.0,51.282051282051285,22.22222222222222
55.1,9,and I told her I wasn't interested.,100.0,82.05128205128206,33.333333333333336
39.8,10,"'Course friends, y'know, they don't always take no for an answer.",20.0,30.76923076923077,
93.88,11,So that's when she snuck up behind me,100.0,100.0,100.0
94.9,12,and gave me a little nudge.,100.0,100.0,100.0
82.65,13,"When I emerged from the water, there was a frog on the shore,",100.0,69.23076923076923,55.55555555555556
73.47,14,she just scooped it up,90.0,71.7948717948718,44.44444444444444
52.04,15,and handed it to me.,90.0,69.23076923076923,33.333333333333336
62.24,16,And . . .; I couldn't help but laugh – uncontrollably.,100.0,94.87179487179488,100.0
67.35,17,"And naturally, the first thing to do was to get revenge,",90.0,89.74358974358974,100.0
77.55,18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",100.0,92.3076923076923,100.0
